01/01/2000: PI8-2391237
14/03/1992: PI8-232289
15/03/1992: PI8-110075
16/03/1992: PI8-2692680
17/03/1992: PI8-922248
18/03/1992: PI8-415542
19/03/1992: PI8-2044478
20/03/1992: PI8-545290
21/03/1992: PI8-253887
22/03/1992: PI8-744770
23/03/1992: PI8-55845
24/03/1992: PI8-1520106
25/03/1992: PI8-1416713
26/03/1992: PI8-714545
27/03/1992: PI8-877110
28/03/1992: PI8-2990317
29/03/1992: PI8-155060
30/03/1992: PI8-557271
31/03/1992: PI8-826770
01/04/1992: PI8-361294
02/04/1992: PI8-1028026
03/04/1992: PI8-435312
04/04/1992: PI8-309592
05/04/1992: PI8-9475
06/04/1992: PI8-803413
07/04/1992: PI8-423976
08/04/1992: PI8-1287412
09/04/1992: PI8-338115
10/04/1992: PI8-164756
11/04/1992: PI8-465996
12/04/1992: PI8-555948
13/04/1992: PI8-610351
14/04/1992: PI8-1679069
15/04/1992: PI8-2122926
16/04/1992: PI8-172125
17/04/1992: PI8-63681
18/04/1992: PI8-766233
19/04/1992: PI8-624444
20/04/1992: PI8-824005
21/04/1992: PI8-829745
22/04/1992: PI8-1820403
23/04/1992: PI8-1015751
24/04/1992: PI8-209848
25/04/1992: PI8-815443
26/04/1992: PI8-641911
27/04/1992: PI8-109473
28/04/1992: PI8-256946
29/04/1992: PI8-2666217
30/04/1992: PI8-85671
31/04/1992: PI8-3389032
01/05/1992: PI8-1324921
02/05/1992: PI8-1076996
03/05/1992: PI8-1154784
04/05/1992: PI8-243824
05/05/1992: PI8-945950
06/05/1992: PI8-222587
07/05/1992: PI8-431110
08/05/1992: PI8-434457
09/05/1992: PI8-3304816
10/05/1992: PI8-419662
11/05/1992: PI8-43617
12/05/1992: PI8-3035056
13/05/1992: PI8-1230557
14/05/1992: PI8-1376302
15/05/1992: PI8-1769770
16/05/1992: PI8-2027055
17/05/1992: PI8-69509
18/05/1992: PI8-142669
19/05/1992: PI8-1760477
20/05/1992: PI8-686723
21/05/1992: PI8-358515
22/05/1992: PI8-36963
23/05/1992: PI8-2670585
24/05/1992: PI8-2503944
25/05/1992: PI8-3174855
26/05/1992: PI8-1791405
27/05/1992: PI8-2332877
28/05/1992: PI8-1732883
29/05/1992: PI8-429275
30/05/1992: PI8-274856
31/05/1992: PI8-2029033
01/06/1992: PI8-1750049
02/06/1992: PI8-2494014
03/06/1992: PI8-773514
04/06/1992: PI8-2571416
05/06/1992: PI8-36480
06/06/1992: PI8-159404
07/06/1992: PI8-215955
08/06/1992: PI8-331274
09/06/1992: PI8-199417
10/06/1992: PI8-1052460
11/06/1992: PI8-527267
12/06/1992: PI8-309151
13/06/1992: PI8-608421
14/06/1992: PI8-703885
15/06/1992: PI8-247649
16/06/1992: PI8-599532
17/06/1992: PI8-496631
18/06/1992: PI8-695778
19/06/1992: PI8-478073
20/06/1992: PI8-650983
21/06/1992: PI8-1124387
22/06/1992: PI8-140299
23/06/1992: PI8-4193444
24/06/1992: PI8-426262
25/06/1992: PI8-1139774
26/06/1992: PI8-3669568
27/06/1992: PI8-5839578
28/06/1992: PI8-1766852
29/06/1992: PI8-73237
30/06/1992: PI8-2953913
31/06/1992: PI8-198074
01/07/1992: PI8-665098
02/07/1992: PI8-1296888
03/07/1992: PI8-218889
04/07/1992: PI8-1273812
05/07/1992: PI8-683
06/07/1992: PI8-20158
07/07/1992: PI8-854314
08/07/1992: PI8-1466469
09/07/1992: PI8-3738033
10/07/1992: PI8-457430
11/07/1992: PI8-332728
12/07/1992: PI8-531335
13/07/1992: PI8-3042061
14/07/1992: PI8-7806
15/07/1992: PI8-131874
16/07/1992: PI8-948736
17/07/1992: PI8-1196314
18/07/1992: PI8-484552
19/07/1992: PI8-504551
20/07/1992: PI8-1598444
21/07/1992: PI8-97430
22/07/1992: PI8-598346
23/07/1992: PI8-758041
24/07/1992: PI8-82454
25/07/1992: PI8-1000985
26/07/1992: PI8-2244586
27/07/1992: PI8-889637
28/07/1992: PI8-905311
29/07/1992: PI8-1050409
30/07/1992: PI8-1084911
31/07/1992: PI8-1754334
01/08/1992: PI8-853711
02/08/1992: PI8-2978951
03/08/1992: PI8-744860
04/08/1992: PI8-490847
05/08/1992: PI8-120033
06/08/1992: PI8-675344
07/08/1992: PI8-683477
08/08/1992: PI8-1738001
09/08/1992: PI8-1225548
10/08/1992: PI8-966455
11/08/1992: PI8-480323
12/08/1992: PI8-108644
13/08/1992: PI8-1508565
14/08/1992: PI8-598226
15/08/1992: PI8-1815344
16/08/1992: PI8-2486200
17/08/1992: PI8-846184
18/08/1992: PI8-272878
19/08/1992: PI8-134836
20/08/1992: PI8-673302
21/08/1992: PI8-1315550
22/08/1992: PI8-404119
23/08/1992: PI8-1031004
24/08/1992: PI8-91667
25/08/1992: PI8-998773
26/08/1992: PI8-4488871
27/08/1992: PI8-134949
28/08/1992: PI8-274083
29/08/1992: PI8-2815963
30/08/1992: PI8-2678963
31/08/1992: PI8-791502
01/09/1992: PI8-938966
02/09/1992: PI8-1428049
03/09/1992: PI8-3041262
04/09/1992: PI8-627923
05/09/1992: PI8-723993
06/09/1992: PI8-468150
07/09/1992: PI8-2935429
08/09/1992: PI8-3481087
09/09/1992: PI8-1430693
10/09/1992: PI8-860843
11/09/1992: PI8-429721
12/09/1992: PI8-767901
13/09/1992: PI8-131467
14/09/1992: PI8-267892
15/09/1992: PI8-263985
16/09/1992: PI8-871826
17/09/1992: PI8-1795222
18/09/1992: PI8-221700
19/09/1992: PI8-1981586
20/09/1992: PI8-1127519
21/09/1992: PI8-995351
22/09/1992: PI8-455855
23/09/1992: PI8-272685
24/09/1992: PI8-123579
25/09/1992: PI8-165491
26/09/1992: PI8-827086
27/09/1992: PI8-2319828
28/09/1992: PI8-1947298
29/09/1992: PI8-464900
30/09/1992: PI8-965411
31/09/1992: PI8-939940
01/10/1992: PI8-1099189
02/10/1992: PI8-9918
03/10/1992: PI8-724854
04/10/1992: PI8-346156
05/10/1992: PI8-570829
06/10/1992: PI8-795484
07/10/1992: PI8-3522374
08/10/1992: PI8-2265949
09/10/1992: PI8-698901
10/10/1992: PI8-233071
11/10/1992: PI8-482233
12/10/1992: PI8-1922227
13/10/1992: PI8-787893
14/10/1992: PI8-141904
15/10/1992: PI8-1997004
16/10/1992: PI8-625156
17/10/1992: PI8-1316219
18/10/1992: PI8-3003735
19/10/1992: PI8-614529
20/10/1992: PI8-139943
21/10/1992: PI8-351425
22/10/1992: PI8-547388
23/10/1992: PI8-6474415
24/10/1992: PI8-213525
25/10/1992: PI8-470399
26/10/1992: PI8-2481878
27/10/1992: PI8-2783795
28/10/1992: PI8-1099615
29/10/1992: PI8-3911827
30/10/1992: PI8-1173738
31/10/1992: PI8-418020
01/11/1992: PI8-1599844
02/11/1992: PI8-312417
03/11/1992: PI8-234523
04/11/1992: PI8-934327
05/11/1992: PI8-1127905
06/11/1992: PI8-52041
07/11/1992: PI8-1128129
08/11/1992: PI8-4048927
09/11/1992: PI8-1188394
10/11/1992: PI8-430174
11/11/1992: PI8-2183755
12/11/1992: PI8-406237
13/11/1992: PI8-4155094
14/11/1992: PI8-122240
15/11/1992: PI8-762560
16/11/1992: PI8-342635
17/11/1992: PI8-3155782
18/11/1992: PI8-993363
19/11/1992: PI8-1157394
20/11/1992: PI8-285721
21/11/1992: PI8-180896
22/11/1992: PI8-1549103
23/11/1992: PI8-424219
24/11/1992: PI8-847918
25/11/1992: PI8-326196
26/11/1992: PI8-623440
27/11/1992: PI8-2022983
28/11/1992: PI8-1273117
29/11/1992: PI8-230964
30/11/1992: PI8-1458701
31/11/1992: PI8-868012
01/12/1992: PI8-2545253
02/12/1992: PI8-842516
03/12/1992: PI8-639038
04/12/1992: PI8-356916
05/12/1992: PI8-29771
06/12/1992: PI8-947014
07/12/1992: PI8-59283
08/12/1992: PI8-223150
09/12/1992: PI8-1076127
10/12/1992: PI8-285653
11/12/1992: PI8-385487
12/12/1992: PI8-1047606
13/12/1992: PI8-1058098
14/12/1992: PI8-782386
15/12/1992: PI8-318563
16/12/1992: PI8-611502
17/12/1992: PI8-211688
18/12/1992: PI8-1911638
19/12/1992: PI8-96631
20/12/1992: PI8-2480564
21/12/1992: PI8-386256
22/12/1992: PI8-58405
23/12/1992: PI8-556091
24/12/1992: PI8-831811
25/12/1992: PI8-1140906
26/12/1992: PI8-275377
27/12/1992: PI8-876097
28/12/1992: PI8-794545
29/12/1992: PI8-1378602
30/12/1992: PI8-846663
31/12/1992: PI8-701017
01/01/1993: PI8-1051226
02/01/1993: PI8-404341
03/01/1993: PI8-751876
04/01/1993: PI8-1430537
05/01/1993: PI8-258986
06/01/1993: PI8-236777
07/01/1993: PI8-1249710
08/01/1993: PI8-357019
09/01/1993: PI8-1376043
10/01/1993: PI8-1219506
11/01/1993: PI8-1266055
12/01/1993: PI8-980357
13/01/1993: PI8-979180
14/01/1993: PI8-385116
15/01/1993: PI8-1343
16/01/1993: PI8-921770
17/01/1993: PI8-1229174
18/01/1993: PI8-1222341
19/01/1993: PI8-376204
20/01/1993: PI8-276957
21/01/1993: PI8-117302
22/01/1993: PI8-480655
23/01/1993: PI8-3276650
24/01/1993: PI8-80322
25/01/1993: PI8-361626
26/01/1993: PI8-149499
27/01/1993: PI8-166
28/01/1993: PI8-1289720
29/01/1993: PI8-1793444
30/01/1993: PI8-1359150
31/01/1993: PI8-177591
01/02/1993: PI8-1727515
02/02/1993: PI8-97292
03/02/1993: PI8-93294
04/02/1993: PI8-3725763
05/02/1993: PI8-463218
06/02/1993: PI8-308904
07/02/1993: PI8-481684
08/02/1993: PI8-1046825
09/02/1993: PI8-627835
10/02/1993: PI8-543598
11/02/1993: PI8-153758
12/02/1993: PI8-518029
13/02/1993: PI8-164583
14/02/1993: PI8-730418
15/02/1993: PI8-1920158
16/02/1993: PI8-2974859
17/02/1993: PI8-185858
18/02/1993: PI8-275287
19/02/1993: PI8-1196470
20/02/1993: PI8-2081267
21/02/1993: PI8-424184
22/02/1993: PI8-608595
23/02/1993: PI8-873473
24/02/1993: PI8-475683
25/02/1993: PI8-297540
26/02/1993: PI8-1056986
27/02/1993: PI8-491222
28/02/1993: PI8-2755538
29/02/1993: PI8-627009
30/02/1993: PI8-218603
31/02/1993: PI8-103136
01/03/1993: PI8-546904
02/03/1993: PI8-55638
03/03/1993: PI8-76274
04/03/1993: PI8-240003
05/03/1993: PI8-3301854
06/03/1993: PI8-751213
07/03/1993: PI8-514934
08/03/1993: PI8-2812926
09/03/1993: PI8-776291
10/03/1993: PI8-183569
11/03/1993: PI8-1022612
12/03/1993: PI8-590823
13/03/1993: PI8-996813
14/03/1993: PI8-855876
15/03/1993: PI8-2127816
16/03/1993: PI8-997860
17/03/1993: PI8-52124
18/03/1993: PI8-5888470
19/03/1993: PI8-48100
20/03/1993: PI8-393676
21/03/1993: PI8-397137
22/03/1993: PI8-209679
23/03/1993: PI8-371957
24/03/1993: PI8-3032604
25/03/1993: PI8-6418
26/03/1993: PI8-718821
27/03/1993: PI8-347522
28/03/1993: PI8-448673
29/03/1993: PI8-1941252
30/03/1993: PI8-598453
31/03/1993: PI8-23646
01/04/1993: PI8-1103598
02/04/1993: PI8-897448
03/04/1993: PI8-3941412
04/04/1993: PI8-1314281
05/04/1993: PI8-157637
06/04/1993: PI8-294550
07/04/1993: PI8-348625
08/04/1993: PI8-726399
09/04/1993: PI8-459517
10/04/1993: PI8-801883
11/04/1993: PI8-1656463
12/04/1993: PI8-349295
13/04/1993: PI8-585532
14/04/1993: PI8-24648
15/04/1993: PI8-167194
16/04/1993: PI8-1037139
17/04/1993: PI8-2407476
18/04/1993: PI8-1853898
19/04/1993: PI8-1635584
20/04/1993: PI8-141595
21/04/1993: PI8-13421
22/04/1993: PI8-102103
23/04/1993: PI8-160335
24/04/1993: PI8-454115
25/04/1993: PI8-707047
26/04/1993: PI8-2556517
27/04/1993: PI8-556858
28/04/1993: PI8-851811
29/04/1993: PI8-61897
30/04/1993: PI8-1357485
31/04/1993: PI8-953018
01/05/1993: PI8-357827
02/05/1993: PI8-1477152
03/05/1993: PI8-186498
04/05/1993: PI8-333745
05/05/1993: PI8-434869
06/05/1993: PI8-181430
07/05/1993: PI8-527140
08/05/1993: PI8-136003
09/05/1993: PI8-378620
10/05/1993: PI8-897667
11/05/1993: PI8-487655
12/05/1993: PI8-302391
13/05/1993: PI8-553477
14/05/1993: PI8-907747
15/05/1993: PI8-1891797
16/05/1993: PI8-2204504
17/05/1993: PI8-1527141
18/05/1993: PI8-125318
19/05/1993: PI8-435397
20/05/1993: PI8-185523
21/05/1993: PI8-555055
22/05/1993: PI8-1100783
23/05/1993: PI8-1131793
24/05/1993: PI8-577553
25/05/1993: PI8-1345721
26/05/1993: PI8-381052
27/05/1993: PI8-749341
28/05/1993: PI8-648240
29/05/1993: PI8-574822
30/05/1993: PI8-1061219
31/05/1993: PI8-1689348
01/06/1993: PI8-2023904
02/06/1993: PI8-203158
03/06/1993: PI8-515115
04/06/1993: PI8-300968
05/06/1993: PI8-2312810
06/06/1993: PI8-729746
07/06/1993: PI8-940747
08/06/1993: PI8-1285719
09/06/1993: PI8-272744
10/06/1993: PI8-1177993
11/06/1993: PI8-2234802
12/06/1993: PI8-98153
13/06/1993: PI8-1254265
14/06/1993: PI8-633695
15/06/1993: PI8-667640
16/06/1993: PI8-3855139
17/06/1993: PI8-77224
18/06/1993: PI8-1723653
19/06/1993: PI8-4969186
20/06/1993: PI8-1023139
21/06/1993: PI8-864819
22/06/1993: PI8-220020
23/06/1993: PI8-1520969
24/06/1993: PI8-203297
25/06/1993: PI8-190877
26/06/1993: PI8-41799
27/06/1993: PI8-2659066
28/06/1993: PI8-490039
29/06/1993: PI8-1102202
30/06/1993: PI8-1855628
31/06/1993: PI8-836695
01/07/1993: PI8-611568
02/07/1993: PI8-45398
03/07/1993: PI8-362858
04/07/1993: PI8-1260554
05/07/1993: PI8-676497
06/07/1993: PI8-796169
07/07/1993: PI8-1076507
08/07/1993: PI8-866132
09/07/1993: PI8-891157
10/07/1993: PI8-413745
11/07/1993: PI8-981887
12/07/1993: PI8-521895
13/07/1993: PI8-192420
14/07/1993: PI8-14322
15/07/1993: PI8-2429716
16/07/1993: PI8-1661865
17/07/1993: PI8-252947
18/07/1993: PI8-370900
19/07/1993: PI8-1121704
20/07/1993: PI8-5229406
21/07/1993: PI8-350602
22/07/1993: PI8-4111776
23/07/1993: PI8-925851
24/07/1993: PI8-64516
25/07/1993: PI8-811457
26/07/1993: PI8-207960
27/07/1993: PI8-246592
28/07/1993: PI8-1176159
29/07/1993: PI8-625088
30/07/1993: PI8-760223
31/07/1993: PI8-1238794
01/08/1993: PI8-259479
02/08/1993: PI8-525810
03/08/1993: PI8-343040
04/08/1993: PI8-4832896
05/08/1993: PI8-3097313
06/08/1993: PI8-741216
07/08/1993: PI8-182404
08/08/1993: PI8-194938
09/08/1993: PI8-630991
10/08/1993: PI8-334099
11/08/1993: PI8-2761430
12/08/1993: PI8-2243953
13/08/1993: PI8-642939
14/08/1993: PI8-61472
15/08/1993: PI8-12299
16/08/1993: PI8-427122
17/08/1993: PI8-2874674
18/08/1993: PI8-551056
19/08/1993: PI8-1890929
20/08/1993: PI8-610571
21/08/1993: PI8-92826
22/08/1993: PI8-34174
23/08/1993: PI8-177196
24/08/1993: PI8-926465
25/08/1993: PI8-978566
26/08/1993: PI8-537209
27/08/1993: PI8-559390
28/08/1993: PI8-895497
29/08/1993: PI8-51797
30/08/1993: PI8-2487023
31/08/1993: PI8-3361380
01/09/1993: PI8-509349
02/09/1993: PI8-3074851
03/09/1993: PI8-476301
04/09/1993: PI8-566622
05/09/1993: PI8-265113
06/09/1993: PI8-1276080
07/09/1993: PI8-497408
08/09/1993: PI8-882890
09/09/1993: PI8-799015
10/09/1993: PI8-3183777
11/09/1993: PI8-1291719
12/09/1993: PI8-71110
13/09/1993: PI8-608940
14/09/1993: PI8-3799883
15/09/1993: PI8-834287
16/09/1993: PI8-273957
17/09/1993: PI8-3709905
18/09/1993: PI8-1118756
19/09/1993: PI8-1123285
20/09/1993: PI8-8185
21/09/1993: PI8-1949726
22/09/1993: PI8-506338
23/09/1993: PI8-1136786
24/09/1993: PI8-1101143
25/09/1993: PI8-1668521
26/09/1993: PI8-861305
27/09/1993: PI8-590431
28/09/1993: PI8-794669
29/09/1993: PI8-1723958
30/09/1993: PI8-622549
31/09/1993: PI8-1229619
01/10/1993: PI8-427999
02/10/1993: PI8-292262
03/10/1993: PI8-788913
04/10/1993: PI8-266534
05/10/1993: PI8-405040
06/10/1993: PI8-1830900
07/10/1993: PI8-333068
08/10/1993: PI8-814306
09/10/1993: PI8-1050950
10/10/1993: PI8-189140
11/10/1993: PI8-1623226
12/10/1993: PI8-64103
13/10/1993: PI8-449044
14/10/1993: PI8-376565
15/10/1993: PI8-2351369
16/10/1993: PI8-101087
17/10/1993: PI8-885156
18/10/1993: PI8-1438789
19/10/1993: PI8-683501
20/10/1993: PI8-552425
21/10/1993: PI8-801991
22/10/1993: PI8-1433746
23/10/1993: PI8-1421403
24/10/1993: PI8-944957
25/10/1993: PI8-100314
26/10/1993: PI8-2052612
27/10/1993: PI8-1174139
28/10/1993: PI8-3417928
29/10/1993: PI8-367915
30/10/1993: PI8-59728
31/10/1993: PI8-2832488
01/11/1993: PI8-1787783
02/11/1993: PI8-463447
03/11/1993: PI8-1053681
04/11/1993: PI8-1766130
05/11/1993: PI8-364086
06/11/1993: PI8-1203708
07/11/1993: PI8-430331
08/11/1993: PI8-688106
09/11/1993: PI8-6125
10/11/1993: PI8-180613
11/11/1993: PI8-1084975
12/11/1993: PI8-482961
13/11/1993: PI8-504685
14/11/1993: PI8-76050
15/11/1993: PI8-493755
16/11/1993: PI8-45127
17/11/1993: PI8-458922
18/11/1993: PI8-275923
19/11/1993: PI8-167182
20/11/1993: PI8-318733
21/11/1993: PI8-2695643
22/11/1993: PI8-652496
23/11/1993: PI8-341039
24/11/1993: PI8-2106273
25/11/1993: PI8-413887
26/11/1993: PI8-261505
27/11/1993: PI8-1123243
28/11/1993: PI8-2223814
29/11/1993: PI8-2441093
30/11/1993: PI8-3118358
31/11/1993: PI8-906252
01/12/1993: PI8-1416230
02/12/1993: PI8-615136
03/12/1993: PI8-146579
04/12/1993: PI8-679406
05/12/1993: PI8-2041317
06/12/1993: PI8-871256
07/12/1993: PI8-421684
08/12/1993: PI8-1384899
09/12/1993: PI8-91679
10/12/1993: PI8-556166
11/12/1993: PI8-356197
12/12/1993: PI8-1458360
13/12/1993: PI8-302620
14/12/1993: PI8-2317585
15/12/1993: PI8-1249598
16/12/1993: PI8-34764
17/12/1993: PI8-757672
18/12/1993: PI8-1770845
19/12/1993: PI8-494142
20/12/1993: PI8-3879859
21/12/1993: PI8-90145
22/12/1993: PI8-105867
23/12/1993: PI8-351971
24/12/1993: PI8-1663194
25/12/1993: PI8-1278830
26/12/1993: PI8-486069
27/12/1993: PI8-799763
28/12/1993: PI8-975114
29/12/1993: PI8-1584773
30/12/1993: PI8-1391895
31/12/1993: PI8-256069
01/01/1994: PI8-323602
02/01/1994: PI8-1417828
03/01/1994: PI8-508257
04/01/1994: PI8-3916344
05/01/1994: PI8-1359980
06/01/1994: PI8-208052
07/01/1994: PI8-3076761
08/01/1994: PI8-2138221
09/01/1994: PI8-4608184
10/01/1994: PI8-185152
11/01/1994: PI8-1595266
12/01/1994: PI8-490978
13/01/1994: PI8-211486
14/01/1994: PI8-529313
15/01/1994: PI8-2215491
16/01/1994: PI8-866383
17/01/1994: PI8-46836
18/01/1994: PI8-273378
19/01/1994: PI8-1305643
20/01/1994: PI8-45301
21/01/1994: PI8-150222
22/01/1994: PI8-89906
23/01/1994: PI8-2545138
24/01/1994: PI8-27956
25/01/1994: PI8-806528
26/01/1994: PI8-666678
27/01/1994: PI8-615687
28/01/1994: PI8-108410
29/01/1994: PI8-1789040
30/01/1994: PI8-837256
31/01/1994: PI8-470316
01/02/1994: PI8-684470
02/02/1994: PI8-384715
03/02/1994: PI8-234100
04/02/1994: PI8-2140414
05/02/1994: PI8-1386269
06/02/1994: PI8-1293623
07/02/1994: PI8-897627
08/02/1994: PI8-970824
09/02/1994: PI8-924713
10/02/1994: PI8-610944
11/02/1994: PI8-377168
12/02/1994: PI8-1922609
13/02/1994: PI8-1500524
14/02/1994: PI8-1132079
15/02/1994: PI8-863451
16/02/1994: PI8-457282
17/02/1994: PI8-44627
18/02/1994: PI8-762912
19/02/1994: PI8-663496
20/02/1994: PI8-210841
21/02/1994: PI8-1046447
22/02/1994: PI8-365696
23/02/1994: PI8-95201
24/02/1994: PI8-225594
25/02/1994: PI8-1350664
26/02/1994: PI8-794820
27/02/1994: PI8-1492070
28/02/1994: PI8-26385
29/02/1994: PI8-2092899
30/02/1994: PI8-51158
31/02/1994: PI8-1720948
01/03/1994: PI8-1831510
02/03/1994: PI8-451466
03/03/1994: PI8-352115
04/03/1994: PI8-868710
05/03/1994: PI8-892975
06/03/1994: PI8-40200
07/03/1994: PI8-10108
08/03/1994: PI8-1176376
09/03/1994: PI8-41561
10/03/1994: PI8-107718
11/03/1994: PI8-1475688
12/03/1994: PI8-560521
13/03/1994: PI8-1760797
14/03/1994: PI8-169787
15/03/1994: PI8-1160932
16/03/1994: PI8-1288632
17/03/1994: PI8-602137
18/03/1994: PI8-176064
19/03/1994: PI8-1367923
20/03/1994: PI8-37887
21/03/1994: PI8-744911
22/03/1994: PI8-530693
23/03/1994: PI8-134602
24/03/1994: PI8-1361279
25/03/1994: PI8-38908
26/03/1994: PI8-516278
27/03/1994: PI8-131160
28/03/1994: PI8-1143182
29/03/1994: PI8-899086
30/03/1994: PI8-376172
31/03/1994: PI8-754785
01/04/1994: PI8-414014
02/04/1994: PI8-1043148
03/04/1994: PI8-218472
04/04/1994: PI8-636268
05/04/1994: PI8-160085
06/04/1994: PI8-122302
07/04/1994: PI8-454363
08/04/1994: PI8-2491846
09/04/1994: PI8-172162
10/04/1994: PI8-166003
11/04/1994: PI8-1547414
12/04/1994: PI8-619749
13/04/1994: PI8-248140
14/04/1994: PI8-1995223
15/04/1994: PI8-445397
16/04/1994: PI8-238436
17/04/1994: PI8-1770813
18/04/1994: PI8-657049
19/04/1994: PI8-1237755
20/04/1994: PI8-861571
21/04/1994: PI8-2658738
22/04/1994: PI8-189036
23/04/1994: PI8-241321
24/04/1994: PI8-154616
25/04/1994: PI8-413688
26/04/1994: PI8-1308025
27/04/1994: PI8-648793
28/04/1994: PI8-296026
29/04/1994: PI8-470668
30/04/1994: PI8-1146774
31/04/1994: PI8-620580
01/05/1994: PI8-688642
02/05/1994: PI8-725963
03/05/1994: PI8-147168
04/05/1994: PI8-104285
05/05/1994: PI8-1163388
06/05/1994: PI8-1397228
07/05/1994: PI8-1679724
08/05/1994: PI8-740604
09/05/1994: PI8-1464207
10/05/1994: PI8-907931
11/05/1994: PI8-133897
12/05/1994: PI8-3755593
13/05/1994: PI8-309324
14/05/1994: PI8-426436
15/05/1994: PI8-571273
16/05/1994: PI8-1221154
17/05/1994: PI8-67685
18/05/1994: PI8-550813
19/05/1994: PI8-88945
20/05/1994: PI8-1599555
21/05/1994: PI8-1036067
22/05/1994: PI8-1243051
23/05/1994: PI8-460620
24/05/1994: PI8-1008654
25/05/1994: PI8-666718
26/05/1994: PI8-419625
27/05/1994: PI8-1570027
28/05/1994: PI8-626906
29/05/1994: PI8-439118
30/05/1994: PI8-6973
31/05/1994: PI8-74900
01/06/1994: PI8-731472
02/06/1994: PI8-229608
03/06/1994: PI8-422316
04/06/1994: PI8-396271
05/06/1994: PI8-365217
06/06/1994: PI8-886817
07/06/1994: PI8-2196773
08/06/1994: PI8-583472
09/06/1994: PI8-3137879
10/06/1994: PI8-231451
11/06/1994: PI8-1424459
12/06/1994: PI8-1171700
13/06/1994: PI8-230805
14/06/1994: PI8-97854
15/06/1994: PI8-643209
16/06/1994: PI8-295928
17/06/1994: PI8-125746
18/06/1994: PI8-217923
19/06/1994: PI8-509046
20/06/1994: PI8-1709160
21/06/1994: PI8-1047781
22/06/1994: PI8-134464
23/06/1994: PI8-113251
24/06/1994: PI8-259140
25/06/1994: PI8-18061
26/06/1994: PI8-299769
27/06/1994: PI8-130854
28/06/1994: PI8-113723
29/06/1994: PI8-2137837
30/06/1994: PI8-1161122
31/06/1994: PI8-1308829
01/07/1994: PI8-77619
02/07/1994: PI8-339369
03/07/1994: PI8-181110
04/07/1994: PI8-803312
05/07/1994: PI8-2476125
06/07/1994: PI8-2984185
07/07/1994: PI8-1214920
08/07/1994: PI8-165168
09/07/1994: PI8-3944452
10/07/1994: PI8-648591
11/07/1994: PI8-584677
12/07/1994: PI8-1550832
13/07/1994: PI8-156512
14/07/1994: PI8-335561
15/07/1994: PI8-711070
16/07/1994: PI8-256148
17/07/1994: PI8-185719
18/07/1994: PI8-1924426
19/07/1994: PI8-671234
20/07/1994: PI8-884122
21/07/1994: PI8-1818528
22/07/1994: PI8-1154638
23/07/1994: PI8-774617
24/07/1994: PI8-183606
25/07/1994: PI8-18849
26/07/1994: PI8-41716
27/07/1994: PI8-248568
28/07/1994: PI8-242167
29/07/1994: PI8-1358991
30/07/1994: PI8-458412
31/07/1994: PI8-1739391
01/08/1994: PI8-1485753
02/08/1994: PI8-1111033
03/08/1994: PI8-1214641
04/08/1994: PI8-657414
05/08/1994: PI8-449981
06/08/1994: PI8-785413
07/08/1994: PI8-521298
08/08/1994: PI8-127533
09/08/1994: PI8-10954
10/08/1994: PI8-659557
11/08/1994: PI8-295569
12/08/1994: PI8-1627816
13/08/1994: PI8-937454
14/08/1994: PI8-513635
15/08/1994: PI8-1059422
16/08/1994: PI8-2346
17/08/1994: PI8-1334959
18/08/1994: PI8-161219
19/08/1994: PI8-1560011
20/08/1994: PI8-539486
21/08/1994: PI8-743376
22/08/1994: PI8-766989
23/08/1994: PI8-10825
24/08/1994: PI8-902869
25/08/1994: PI8-134292
26/08/1994: PI8-2700934
27/08/1994: PI8-7162
28/08/1994: PI8-84220
29/08/1994: PI8-1432807
30/08/1994: PI8-336754
31/08/1994: PI8-137454
01/09/1994: PI8-585972
02/09/1994: PI8-636948
03/09/1994: PI8-501618
04/09/1994: PI8-156128
05/09/1994: PI8-255641
06/09/1994: PI8-198377
07/09/1994: PI8-2910715
08/09/1994: PI8-1738922
09/09/1994: PI8-71065
10/09/1994: PI8-783022
11/09/1994: PI8-2868237
12/09/1994: PI8-1115746
13/09/1994: PI8-419752
14/09/1994: PI8-2422952
15/09/1994: PI8-720137
16/09/1994: PI8-696997
17/09/1994: PI8-1048560
18/09/1994: PI8-105860
19/09/1994: PI8-858288
20/09/1994: PI8-4891778
21/09/1994: PI8-1102453
22/09/1994: PI8-664901
23/09/1994: PI8-225687
24/09/1994: PI8-261921
25/09/1994: PI8-239460
26/09/1994: PI8-734654
27/09/1994: PI8-606446
28/09/1994: PI8-1271333
29/09/1994: PI8-8062
30/09/1994: PI8-1225474
31/09/1994: PI8-3607785
01/10/1994: PI8-2027064
02/10/1994: PI8-1488931
03/10/1994: PI8-4049392
04/10/1994: PI8-128177
05/10/1994: PI8-4308417
06/10/1994: PI8-409791
07/10/1994: PI8-1879791
08/10/1994: PI8-4878573
09/10/1994: PI8-19975
10/10/1994: PI8-106850
11/10/1994: PI8-2007180
12/10/1994: PI8-85795
13/10/1994: PI8-278932
14/10/1994: PI8-961320
15/10/1994: PI8-26999
16/10/1994: PI8-480036
17/10/1994: PI8-1195401
18/10/1994: PI8-37310
19/10/1994: PI8-1421792
20/10/1994: PI8-1282532
21/10/1994: PI8-1176900
22/10/1994: PI8-357439
23/10/1994: PI8-452619
24/10/1994: PI8-1436284
25/10/1994: PI8-100851
26/10/1994: PI8-1502872
